Date,Total,Positive,Average,Volume,Price,Change
2015-08-19,21.0,16.0,0.7619047619047619,48286510.0,115.01,-1.4899999999999949
2015-08-20,27.0,23.0,0.8518518518518519,68501622.0,112.65,-2.3599999999999994
2015-08-21,27.0,21.0,0.7777777777777778,128275471.0,105.76,-6.890000000000001
2015-08-22,8.0,6.0,0.75,NaN,NaN,NaN
2015-08-23,6.0,4.0,0.6666666666666666,NaN,NaN,NaN
2015-08-24,23.0,15.0,0.6521739130434783,162206292.0,103.12,-2.6400000000000006
2015-08-25,37.0,30.0,0.8108108108108109,103601599.0,103.74,0.6199999999999903
2015-08-26,33.0,25.0,0.7575757575757576,96774611.0,109.69,5.950000000000003
2015-08-27,59.0,50.0,0.847457627118644,84616056.0,112.92,3.230000000000004
2015-08-28,58.0,51.0,0.8793103448275862,53164407.0,113.29,0.37000000000000455
2015-08-29,10.0,10.0,1.0,NaN,NaN,NaN
2015-08-30,5.0,4.0,0.8,NaN,NaN,NaN
2015-08-31,58.0,48.0,0.8275862068965517,56229271.0,112.76,-0.5300000000000011
2015-09-01,54.0,46.0,0.8518518518518519,76845860.0,107.72,-5.040000000000006
2015-09-02,54.0,49.0,0.9074074074074074,61888812.0,112.34,4.6200000000000045
2015-09-03,53.0,40.0,0.7547169811320755,53233940.0,110.37,-1.9699999999999989
2015-09-04,43.0,36.0,0.8372093023255814,49996311.0,109.27,-1.1000000000000085
2015-09-05,9.0,8.0,0.8888888888888888,NaN,NaN,NaN
2015-09-06,7.0,7.0,1.0,NaN,NaN,NaN
2015-09-07,21.0,18.0,0.8571428571428571,NaN,NaN,NaN
2015-09-08,79.0,66.0,0.8354430379746836,54843626.0,112.31,3.0400000000000063
2015-09-09,185.0,165.0,0.8918918918918919,85010804.0,110.15,-2.1599999999999966
2015-09-10,185.0,163.0,0.8810810810810811,62892831.0,112.57,2.4199999999999875
2015-09-11,85.0,71.0,0.8352941176470589,49915473.0,114.21,1.6400000000000006
2015-09-12,22.0,18.0,0.8181818181818182,NaN,NaN,NaN
2015-09-13,11.0,7.0,0.6363636363636364,NaN,NaN,NaN
2015-09-14,84.0,75.0,0.8928571428571429,58363431.0,115.31,1.1000000000000085
2015-09-15,51.0,46.0,0.9019607843137255,43341155.0,116.28,0.9699999999999989
2015-09-16,75.0,57.0,0.76,37173489.0,116.41,0.12999999999999545
2015-09-17,72.0,60.0,0.8333333333333334,64112641.0,113.92,-2.489999999999995
2015-09-18,63.0,44.0,0.6984126984126984,74285291.0,113.45,-0.46999999999999886
2015-09-19,15.0,11.0,0.7333333333333333,NaN,NaN,NaN
2015-09-20,10.0,9.0,0.9,NaN,NaN,NaN
2015-09-21,88.0,61.0,0.6931818181818182,50221965.0,115.21,1.759999999999991
2015-09-22,71.0,51.0,0.7183098591549296,50346159.0,113.4,-1.809999999999988
2015-09-23,45.0,37.0,0.8222222222222222,35756716.0,114.32,0.9199999999999875
2015-09-24,64.0,56.0,0.875,50219475.0,115.0,0.6800000000000068
2015-09-25,64.0,56.0,0.875,56151926.0,114.71,-0.29000000000000625
2015-09-26,11.0,9.0,0.8181818181818182,NaN,NaN,NaN
2015-09-27,7.0,4.0,0.5714285714285714,NaN,NaN,NaN
2015-09-28,57.0,51.0,0.8947368421052632,50782189.0,112.44,-2.269999999999996
2015-09-29,61.0,50.0,0.819672131147541,73365384.0,109.06,-3.3799999999999955
2015-09-30,49.0,44.0,0.8979591836734694,65041596.0,109.95,0.8900000000000006
2015-10-01,70.0,55.0,0.7857142857142857,63929100.0,109.58,-0.37000000000000455
2015-10-02,47.0,38.0,0.8085106382978723,58019758.0,110.38,0.7999999999999972
2015-10-03,16.0,14.0,0.875,NaN,NaN,NaN
2015-10-04,3.0,3.0,1.0,NaN,NaN,NaN
2015-10-05,46.0,38.0,0.8260869565217391,52064743.0,110.78,0.4000000000000057
2015-10-06,45.0,35.0,0.7777777777777778,48856977.0,111.31,0.5300000000000011
2015-10-07,43.0,36.0,0.8372093023255814,46765550.0,110.78,-0.5300000000000011
2015-10-08,54.0,46.0,0.8518518518518519,61979577.0,109.5,-1.2800000000000011
2015-10-09,53.0,45.0,0.8490566037735849,52766140.0,112.12,2.6200000000000045
2015-10-10,5.0,2.0,0.4,NaN,NaN,NaN
2015-10-11,5.0,3.0,0.6,NaN,NaN,NaN
2015-10-12,43.0,35.0,0.813953488372093,30467204.0,111.6,-0.5200000000000102
2015-10-13,34.0,27.0,0.7941176470588235,33049256.0,111.79,0.19000000000001194
2015-10-14,69.0,44.0,0.6376811594202898,44462449.0,110.21,-1.5800000000000125
2015-10-15,46.0,37.0,0.8043478260869565,37673452.0,111.86,1.6500000000000057
2015-10-16,41.0,29.0,0.7073170731707317,39232609.0,111.04,-0.8199999999999932
2015-10-17,24.0,13.0,0.5416666666666666,NaN,NaN,NaN
2015-10-18,7.0,6.0,0.8571428571428571,NaN,NaN,NaN
2015-10-19,42.0,33.0,0.7857142857142857,29759153.0,111.73,0.6899999999999977
2015-10-20,52.0,45.0,0.8653846153846154,48967763.0,113.77,2.039999999999992
